id_operatore;codice_operatore;codice_fornitore;nome;cognome;data_nascita;codice_fiscale;telefono_aziendale;email;data_inserimento;stato;data_ultima_modifica
1;OPE000001;FOR000001;Paolo;Basile;09/02/1960;BASPAO60B09XXXXI;3349340794;paolo.basile@bianchi.it;27/07/2024;1;07/02/2025
2;OPE000002;FOR000001;Paola;Vitale;03/06/1974;VITPAO74H43XXXXD;3335368015;paola.vitale@bianchi.it;01/08/2025;1;29/03/2026
3;OPE000003;FOR000001;Franco;Ferrari;23/03/1963;FERFRA63C23XXXXC;3398342397;franco.ferrari@bianchi.it;03/10/2025;1;01/04/2026
4;OPE000004;FOR000002;Alessandro;Serra;02/05/1993;SERALE93E02XXXXK;3332592562;alessandro.serra@idraulicicos.it;19/04/2026;1;24/04/2026
5;OPE000005;FOR000002;Renato;De Angelis;16/02/1988;DEAREN88B16XXXXY;3336895739;renato.deangelis@idraulicicos.it;24/05/2026;1;24/05/2026
6;OPE000006;FOR000002;Serena;Leone;30/10/1969;LEOSER69R70XXXXS;3357755244;serena.leone@idraulicicos.it;04/11/2025;1;19/05/2026
7;OPE000007;FOR000003;Giulia;Romano;05/05/1962;ROMGIU62E45XXXXP;3347007110;giulia.romano@damico.it;17/02/2026;1;13/04/2026
8;OPE000008;FOR000003;Enzo;Basile;07/08/2000;BASENZ00M07XXXXS;3351938787;enzo.basile@damico.it;23/12/2025;1;22/04/2026
9;OPE000009;FOR000003;Paolo;Palumbo;29/10/1983;PALPAO83R29XXXXC;3349145692;paolo.palumbo@damico.it;07/05/2026;1;18/05/2026
10;OPE000010;FOR000004;Luisa;Rossi;16/10/1962;ROSLUI62R56XXXXZ;3353456772;luisa.rossi@gallo.it;23/11/2024;1;01/12/2024
11;OPE000011;FOR000004;Stefano;Marotta;01/02/1965;MARSTE65B01XXXXM;3352729928;stefano.marotta@gallo.it;14/03/2025;1;14/07/2025
12;OPE000012;FOR000004;Monica;De Luca;31/03/1967;DELMON67C71XXXXF;3321421015;monica.deluca@gallo.it;17/12/2024;1;12/08/2025
13;OPE000013;FOR000004;Luisa;Gentile;16/12/1981;GENLUI81T56XXXXQ;3382728987;luisa.gentile@gallo.it;21/02/2026;1;11/05/2026
14;OPE000014;FOR000005;Carmela;Monti;25/11/1972;MONCAR72S65XXXXO;3391307048;carmela.monti@sticamancini.it;23/11/2025;1;27/03/2026
15;OPE000015;FOR000005;Andrea;Verdi;22/12/1992;VERAND92T22XXXXE;3342508956;andrea.verdi@sticamancini.it;27/12/2025;1;23/01/2026
16;OPE000016;FOR000005;Stefano;Messina;02/06/1967;MESSTE67H02XXXXD;3365761361;stefano.messina@sticamancini.it;16/09/2025;1;24/05/2026
17;OPE000017;FOR000006;Monica;Messina;03/12/1997;MESMON97T43XXXXI;3382445186;monica.messina@villa.it;27/02/2026;1;08/04/2026
18;OPE000018;FOR000006;Renato;Amato;10/11/1993;AMAREN93S10XXXXX;3359798255;renato.amato@villa.it;04/04/2026;1;06/05/2026
19;OPE000019;FOR000006;Patrizia;Martini;23/12/1976;MARPAT76T63XXXXX;3382323548;patrizia.martini@villa.it;02/02/2026;1;29/04/2026
20;OPE000020;FOR000007;Paolo;Moretti;17/02/1976;MORPAO76B17XXXXZ;3344558699;paolo.moretti@lavorielisor.it;31/05/2026;1;31/05/2026
21;OPE000021;FOR000007;Giacomo;Rizzo;06/09/1988;RIZGIA88P06XXXXW;3325545591;giacomo.rizzo@lavorielisor.it;18/05/2026;1;28/05/2026
22;OPE000022;FOR000007;Francesca;Testa;20/11/1963;TESFRA63S60XXXXW;3382322236;francesca.testa@lavorielisor.it;24/05/2026;1;31/05/2026
23;OPE000023;FOR000007;Matteo;Riva;29/07/1993;RIVMAT93L29XXXXE;3357789549;matteo.riva@lavorielisor.it;30/05/2026;1;30/05/2026
24;OPE000024;FOR000008;Giulia;Giordano;30/05/1961;GIOGIU61E70XXXXM;3321643438;giulia.giordano@ver.it;26/05/2026;1;01/06/2026
